label	layer	phase	bucket	count	mean_cos	mean_rel_l2	mean_rms_delta	mean_mean_abs_delta	mean_max_abs_delta	mean_router_top1_match	mean_router_topk_jaccard	mean_router_margin_delta
base_k100	1	attention_output	256-512	20	0.397989932	0.101108937	+0.002461642	+0.001575291	+0.071875000	nan	nan	nan
base_k100	1	attention_output	512-768	20	0.397497985	0.111748408	+0.001349717	+0.000398874	+0.046875000	nan	nan	nan
base_k100	1	attention_output	64-256	15	0.398299106	0.092885142	-0.021224260	-0.015138547	-0.062500000	nan	nan	nan
base_k100	1	attention_output	768-1024	21	0.379156462	0.096310642	-0.000603784	-0.000991838	+0.083333333	nan	nan	nan
base_k100	1	attention_output	all	592	0.430095174	0.101807841	-0.004002287	-0.003273993	+0.021431588	nan	nan	nan
base_k100	1	input	0-64	320	0.399554005	0.039443400	-0.000510092	-0.000222728	-0.006250000	nan	nan	nan
base_k100	1	input	1024-1000000000	196	0.499645379	0.034776580	+0.000169284	-0.000057813	-0.012117347	nan	nan	nan
base_k100	1	input	256-512	20	0.399782819	0.031588478	-0.001486927	-0.000049551	-0.200000000	nan	nan	nan
base_k100	1	input	512-768	20	0.399570435	0.040561880	-0.000511390	+0.000064102	-0.087500000	nan	nan	nan
base_k100	1	input	64-256	15	0.399821397	0.029780946	-0.002597340	+0.000169716	-0.166666667	nan	nan	nan
base_k100	1	input	768-1024	21	0.380585949	0.040054716	+0.000246582	+0.000053840	-0.035714286	nan	nan	nan
base_k100	1	input	all	592	0.432034573	0.037239009	-0.000344253	-0.000132833	-0.022592905	nan	nan	nan
base_k100	1	mlp_output	0-64	320	0.399005529	0.066926437	-0.001062645	-0.002971289	+0.008398437	nan	nan	nan
base_k100	1	mlp_output	1024-1000000000	196	0.499307537	0.051602389	-0.001616983	-0.000899146	+0.013711735	nan	nan	nan
base_k100	1	mlp_output	256-512	20	0.399338481	0.057137390	-0.000378835	-0.000685489	-0.034375000	nan	nan	nan
base_k100	1	mlp_output	512-768	20	0.399165559	0.062703254	+0.003153455	-0.000804278	+0.068750000	nan	nan	nan
base_k100	1	mlp_output	64-256	15	0.399406791	0.053683138	-0.013694104	-0.006005049	-0.112500000	nan	nan	nan
base_k100	1	mlp_output	768-1024	21	0.380348172	0.055118521	-0.006036140	-0.006731780	-0.059523810	nan	nan	nan
base_k100	1	mlp_output	all	592	0.431578616	0.059942931	-0.001577117	-0.002345074	+0.005278716	nan	nan	nan
base_k100	1	moe_output	0-64	320	0.397214008	0.112657910	-0.000599875	-0.000404078	-0.005245972	nan	nan	nan
base_k100	1	moe_output	1024-1000000000	196	0.497160233	0.101168334	-0.000486503	-0.000395474	-0.002139967	nan	nan	nan
base_k100	1	moe_output	256-512	20	0.397857872	0.099458743	-0.000041952	-0.000095998	+0.005371094	nan	nan	nan
base_k100	1	moe_output	512-768	20	0.396448073	0.135283862	+0.000151541	-0.000018664	+0.005566406	nan	nan	nan
base_k100	1	moe_output	64-256	15	0.395560459	0.115186998	+0.000032988	-0.000015685	-0.000520833	nan	nan	nan
base_k100	1	moe_output	768-1024	21	0.379740567	0.076835735	-0.000058177	-0.000076331	+0.001720610	nan	nan	nan
base_k100	1	moe_output	all	592	0.429638456	0.107493976	-0.000482855	-0.000356333	-0.003126815	nan	nan	nan
base_k100	1	output	0-64	320	0.399250818	0.056748377	-0.001267316	-0.000510395	+0.016406250	nan	nan	nan
base_k100	1	output	1024-1000000000	196	0.499327882	0.048778593	+0.000939223	-0.000059929	+0.106505102	nan	nan	nan
base_k100	1	output	256-512	20	0.399424046	0.049718066	+0.001093858	+0.000007495	+0.087500000	nan	nan	nan
base_k100	1	output	512-768	20	0.399346656	0.055584927	+0.000611460	-0.000302696	+0.050000000	nan	nan	nan
base_k100	1	output	64-256	15	0.399302888	0.056528119	+0.004058933	-0.000229305	+0.266666667	nan	nan	nan
base_k100	1	output	768-1024	21	0.380464361	0.048398149	+0.003024470	+0.000198323	+0.154761905	nan	nan	nan
base_k100	1	output	all	592	0.431728438	0.053175282	-0.000106333	-0.000304479	+0.061021959	nan	nan	nan
base_k100	1	router_logits	0-64	320	0.399337929	0.054329682	+0.000258983	+0.000640497	-0.004687500	0.981250000	0.977500000	-0.004150391
base_k100	1	router_logits	1024-1000000000	196	0.499549601	0.041970857	+0.001412029	+0.001738780	-0.004384566	0.969387755	0.977551020	-0.004862883
base_k100	1	router_logits	256-512	20	0.399671987	0.042010932	+0.003076932	+0.002472758	-0.002343750	0.950000000	1.000000000	-0.023437500
base_k100	1	router_logits	512-768	20	0.399560180	0.047204578	-0.001618528	-0.002059507	-0.010156250	0.950000000	0.980000000	-0.019531250
base_k100	1	router_logits	64-256	15	0.399654857	0.041522766	+0.001394673	+0.001773612	-0.003125000	1.000000000	1.000000000	+0.008333333
base_k100	1	router_logits	768-1024	21	0.380484695	0.049318244	+0.000182294	+0.000707467	-0.011904762	1.000000000	1.000000000	-0.007440476
base_k100	1	router_logits	all	592	0.431874162	0.048534179	+0.000698562	+0.001005888	-0.004909206	0.976351351	0.979729730	-0.005357897
base_k100	2	attention_output	0-64	320	0.396516624	0.126779502	-0.008025659	-0.005689322	-0.068847656	nan	nan	nan
base_k100	2	attention_output	1024-1000000000	196	0.497198977	0.103631821	-0.006531176	-0.003096333	-0.078762755	nan	nan	nan
base_k100	2	attention_output	256-512	20	0.397632262	0.106244342	-0.002662155	-0.000382522	-0.096875000	nan	nan	nan
base_k100	2	attention_output	512-768	20	0.397520819	0.108708259	+0.000053155	+0.000420836	-0.040625000	nan	nan	nan
base_k100	2	attention_output	64-256	15	0.398060203	0.095443351	-0.008857489	-0.000947436	-0.210416667	nan	nan	nan
