label	base_sk	base_sv	base_fk	base_fv	e0	e1	m0	m1	mean_nll	delta_vs_bf16	ppl	ok	chat	status
replay_k100_v08	0.07	0.05	0.07	0.05	0.100,0.080	0.100,0.080	0.100,0.080	0.100,0.080	7.815396153	-0.117964257	2478.468612492168	True	Tokyo	ok
k102_v08	0.07	0.05	0.07	0.05	0.102,0.080	0.102,0.080	0.102,0.080	0.102,0.080	8.136488139	+0.203127729	3416.89710602089	True	Tokyo	ok
k103_v08	0.07	0.05	0.07	0.05	0.103,0.080	0.103,0.080	0.103,0.080	0.103,0.080	6.246659276	-1.686701135	516.2851739467054	True	Tokyo	ok
k104_v08	0.07	0.05	0.07	0.05	0.104,0.080	0.104,0.080	0.104,0.080	0.104,0.080	6.791663277	-1.141697134	890.393301455291	True	Tokyo	ok
k105_v08	0.07	0.05	0.07	0.05	0.105,0.080	0.105,0.080	0.105,0.080	0.105,0.080	NA	NA	NA	False		fail
