label	mean_delta	bucket	bucket_delta
k100	-0.117964257	0-256	-0.248220337
k100	-0.117964257	256-1024	-0.138702851
k100	-0.117964257	1024-2048	-0.070406208
k100	-0.117964257	2048-3072	-0.152492993
k100	-0.117964257	3072-1000000000	-0.082599317
k103	-1.686701135	0-256	-2.578748161
k103	-1.686701135	256-1024	-2.250232057
k103	-1.686701135	1024-2048	-1.909711777
k103	-1.686701135	2048-3072	-1.311380233
k103	-1.686701135	3072-1000000000	-1.189466803
